"Name","Phone","Email","Website","Address","Instagram","Facebook","Twitter","Linkedin","Yelp","Youtube","PlaceID","CID","Category","ReviewCount","AverageRating","Latitude","Longitude","1_Monday","2_Tuesday","3_Wednesday","4_Thursday","5_Friday","6_Saturday","7_Sunday"
"Yashoda Sarees","093764 36000","","http://www.yashodasarees.com/","Shop No.- 316,Parking Project Buliding,Ring Rd, Surat Textile Market, Moti Begumwadi, New Textile Market,Surat, Gujarat 395002","https://www.instagram.com/,https://www.instagram.com/yashoda_sarees,https://www.instagram.com/yashoda_sarees?hl=en","https://www.facebook.com/,https://www.facebook.com/yashodasarees","https://twitter.com/,https://twitter.com/SareesYashoda","https://www.linkedin.com/","","https://www.youtube.com/,https://www.youtube.com/channel/UCHAlpduI6_NwWFDazByzaOQ","ChIJX6iGTlBO4DsRtvBHP8J4_pw","-7134131984027619146","Women's clothing store;Clothes and fabric wholesaler;Clothing manufacturer;Clothing supplier;Clothing wholesaler;Manufacturer;Saree Shop;Uniform store;Wholesale market;Wholesaler","398","4.7","21.1905127","72.8438097","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","Closed"
"Ajmera Fashion Limited","063588 63687","","https://ajmerafashion.com/","Ground Floor,Surana 101,G-1, Sahara Darwaja Ring Rd, Sahara Darwaja, Umarwada,Surat, Gujarat 395002","https://www.instagram.com/ajmerafashion","https://www.facebook.com/ajmerafashionofficial","","https://in.linkedin.com/company/ajmerafashionofficial","","https://www.youtube.com/watch?v=fjlA50u1zWU,https://www.youtube.com/watch?v=4fnV8QgXeoc,https://www.youtube.com/watch?v=NJHcbmXWdBU,https://www.youtube.com/c/AjmeraFashionSyntheticSareeManufacturer,https://www.youtube.com/@ajmerafashionsurat","ChIJ-3OFDk5O4DsRXZbAaRKPhwc","542559589367846493","Clothing store;Clothes and fabric wholesaler;Clothing manufacturer;Clothing wholesaler;Clothing supplier;Garment Exporter;Outlet store;Textile Exporter;Textile mill","5473","4.5","21.195560399999998","72.8439696","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–7 pm","9 am–5 pm"
"Saree Wholesale Market","","","","126,ground floor, vankar textile Market(vtm),ring road,Textile Market Ring Rd,Surat, Gujarat 395003","","","","","","","ChIJp65lzFxP4DsRwiJ8T8vg0OA","-2247049050241359166","Clothes market","147","4.1","21.1956831","72.84225959999999","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","10 am–8 pm","Closed"
"Saree Wholesale Market","","","","Saroli,Surat, Gujarat 395010","","","","","","","ChIJ306g9WlP4DsRZofK5mTARn0","9027114042712033126","Saree Shop","67","3.7","21.1894532","72.8858747","8:30 am–10 pm","8:30 am–10 pm","8:30 am–10 pm","8:30 am–10 pm","8:30 am–10 pm","8:30 am–10 pm","Closed"
"Sai Dhara Nx","075676 17393","info@saidharanx.com","https://saidharanx.com/","S.Y NO. 33/2, Gr. Floor to 3rd Floor, Plot No.10, 426/A Near Rokadiya Hanuman Temple, Beside INS Hospital BRTS Khatodra Wadi, Surat-395 002,Surat, Gujarat 395002","https://www.instagram.com/saidharannx_official,https://www.instagram.com/saidharannx_official?igsh=eHk5M2VzbTN4ODR2","https://www.facebook.com/saidharanx","https://x.com/assets,https://x.com/contact_us,https://x.com/images,https://x.com/wishlist,https://x.com/cart,https://x.com/wholesale,https://x.com/anarkali,https://x.com/cotton,https://x.com/fancy,https://x.com/kurti,https://x.com/rayon,https://x.com/long,https://x.com/salwar,https://x.com/pakistani,https://x.com/readymade,https://x.com/designer,https://x.com/wedding,https://x.com/sarara,https://x.com/saree,https://x.com/silk,https://x.com/patola,https://x.com/banarasi,https://x.com/kaftan,https://x.com/more,https://x.com/crop,https://x.com/top,https://x.com/lehenga,https://x.com/combo,https://x.com/jump,https://x.com/short,https://x.com/gowns,https://x.com/brands,https://x.com/ajaxfiles,https://x.com/products,https://x.com/portfolio,https://x.com/about_us,https://x.com/become_partner,https://x.com/blog,https://x.com/countrywise_col,https://x.com/shipping_rate,https://x.com/privacy_policy,https://x.com/refund_policy,https://x.com/shipping_policy,https://x.com/desclaimer,https://x.com/terms_condition,https://x.com/faqs,https://x.com/sitemap_page,https://x.com/product,https://x.com/my_account,https://x.com/indexsingle,https://x.com/dress","","","https://www.youtube.com/saidharanx","ChIJge8E6axP4DsRsUhnPgBU4Bc","1720467417679218865","Clothing wholesaler;Clothes and fabric manufacturer;Clothes and fabric wholesaler;Clothing manufacturer;Clothing supplier;Fabric wholesaler;Garment Exporter;Wholesale market;Wholesaler","1154","4.6","21.1774778","72.8314066","8 am–9 pm","8 am–9 pm","8 am–9 pm","8 am–9 pm","8 am–9 pm","8 am–9 pm","8:30 am–4 pm"
"M.R Saree Emporium","097272 36377","mrsaree.1961@gmail.com,contact@mrse.in","http://www.mrse.in/","Lower Ground,M.R. House Shop Number - 248 to 283,308 to 343,Ring Rd, Kohinoor Textile Market,Surat, Gujarat 395003","https://www.instagram.com/mrsareeemporium","https://www.facebook.com/mrsareeemp","","","","https://www.youtube.com/channel/UCE9XwNT2FgpEA9UccbA29Tg,https://www.youtube.com/channel/UCE9XwNT2FgpEA9UccbA29Tg?sub_confirmation=1","ChIJHcepOlFO4DsRGYo2-mHhA9M","-3241499495850669543","Wholesaler","456","4.8","21.1884169","72.8374496","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","10:30 am–8 pm","Closed"
"Kesaria Textile Company Surat","090819 95544","","https://kesariatextile.com/","Doriwala Square,near Mohan Mithai,Lal Darwaja, Varachha,Surat, Gujarat 395003","","","","","","","ChIJ7_A36MdP4DsR2vbl-UuQ72E","7057017797102401242","Clothing manufacturer;Clothing supplier;Clothing wholesaler;Garment Exporter;Manufacturer;Textile Exporter;Wholesaler","2535","4.7","21.2054796","72.83930409999999","7 am–11 pm","7 am–11 pm","7 am–11 pm","7 am–11 pm","7 am–11 pm","7 am–11 pm","7 am–11 pm"
"Parnika India","074300 22000","","https://parnikaindia.com/","Delhi Gate,PARVATI FABRIC LIMITED - PARNIKA INDIA F-Tower, Shree Kuberji Textile Market B/h Belgium Tower,Surat, Gujarat 395001","","","","","","","ChIJ6TDGnEhP4DsRw4zN0D7IoMM","-4350257067923239741","Clothing manufacturer;Clothing supplier;Clothing wholesale market place;Clothing wholesaler;Fabric wholesaler;Manufacturer;Protective clothing supplier;Saree Shop","1980","4.9","21.1998999","72.839711","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–5 pm"
"Sarees Wholesalers","091063 60125","","http://sareeswholesalers.com/","42 Opp Chandrakala Dyeing Mill Ranchod Bhajiya Street,Ring Rd,nr. Sids Hospital, behind Old Subjail,Surat, Gujarat 395002","","","","","","","ChIJj67h51FO4DsR3m7INWxbKsM","-4383590766974832930","Wholesaler;Clothing store;Clothing wholesale market place;Dress store;Saree Shop;Wholesale market","212","4.4","21.1796549","72.8258728","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm","9 am–8 pm"
"Surat Saree","088908 37422","","","131,raghuvir platinium market, near shyam sangini market,Saroli,Surat, Gujarat 395010","","","","","","","ChIJrbprjlFO4DsRCIcmD_ubF-8","-1218333671587150072","Saree Shop;Manufacturer","91","4.5","21.1889046","72.89532559999999","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","9 am–9 pm","Closed"
